code,track,course_base,title,publish_status,video_script,course_script,course_slides,course_html,course_pdf,full_audio,full_video,description_txt,youtube_thumb_png,youtube_thumb_jpg,full_thumb_jpg,local_thumb_count,teaser_count,frames_4_of_4,full_audio_name,full_video_name,description_name,youtube_thumb_name,video_script_name,course_script_name,slides_name,all_core_ok
00,fundamental,00-boas-vindas,Boas-vindas à AcademIA Nexus,uploaded,True,True,True,True,True,True,False,True,True,True,False,1,0,True,full_00_alencar.wav,video-00-boas-vindas-full.mp4,00-boas-vindas-a-academia-nexus.txt,00-boas-vindas-a-academia-nexus.png,00-boas-vindas-academia-roteiro.md,00-boas-vindas-roteiro.md,00-boas-vindas-slides.md,False
01,fundamental,01-entendendo-ioaid,Entendendo o IOAID,uploaded,True,True,True,True,True,True,False,True,True,True,False,2,0,True,full_01_ive.wav,video-01-ioaid.mp4,01-entendendo-o-ioaid.txt,01-entendendo-o-ioaid.png,01-entendendo-ioaid-roteiro.md,01-entendendo-ioaid-roteiro.md,01-entendendo-ioaid-slides.md,False
02,fundamental,02-sistema-sho,O Sistema SHO (Self-Healing Orchestrator),uploaded,True,True,True,True,True,True,False,True,True,True,False,1,0,True,full_02_alencar.wav,video-02-sho.mp4,02-o-sistema-sho-self-healing-orchestrator.txt,02-o-sistema-sho-self-healing-orchestrator.png,02-sho-sistema-imune-roteiro.md,02-sistema-sho-roteiro.md,02-sistema-sho-slides.md,False
03,fundamental,03-painel-afiliado,Painel do Afiliado — Visão Geral da Operação,uploaded,True,True,True,True,True,True,False,True,True,True,False,2,0,True,full_03_dupla.wav,video-03-painel.mp4,03-painel-do-afiliado-visao-geral-da-operacao.txt,03-painel-do-afiliado-visao-geral-da-operacao.png,03-painel-afiliado-roteiro.md,03-painel-afiliado-roteiro.md,03-painel-afiliado-slides.md,False
04,agente,00-primeiro-agente,Construindo Seu Primeiro Agente em 4 Minutos,uploaded,True,True,True,True,True,True,False,True,True,True,False,1,1,True,full_04_alencar.wav,mod00-primeiro-agente.mp4,04-construindo-seu-primeiro-agente-em-4-minutos.txt,04-construindo-seu-primeiro-agente-em-4-minutos.png,04-primeiro-agente-roteiro.md,00-primeiro-agente-roteiro.md,00-primeiro-agente-slides.md,False
05,agente,01-skills-essenciais,Skills Essenciais — Copywriter + Audience-Segmenter,uploaded,True,True,True,True,True,True,False,True,True,True,False,2,2,True,full_05_alencar.wav,mod01-skills-essenciais.mp4,05-skills-essenciais-copywriter-audience-segmenter.txt,05-skills-essenciais-copywriter-audience-segmenter.png,05-skills-essenciais-copywriter-roteiro.md,01-skills-essenciais-roteiro.md,01-skills-essenciais-slides.md,False
06,agente,02-disparo-whatsapp,Disparando no WhatsApp em Escala,uploaded,True,True,True,True,True,True,False,True,True,True,False,2,1,True,full_06_alencar.wav,mod02-disparo-whatsapp.mp4,06-disparando-no-whatsapp-em-escala.txt,06-disparando-no-whatsapp-em-escala.png,06-disparo-whatsapp-escala-roteiro.md,02-disparo-whatsapp-roteiro.md,02-disparo-whatsapp-slides.md,False
07,agente,03-judge-revisor,Judge Revisor — A IA que Decide por Você,uploaded,True,True,True,True,True,True,False,True,True,True,False,2,2,True,full_07_alencar.wav,mod03-judge-revisor.mp4,07-judge-revisor-a-ia-que-decide-por-voce.txt,07-judge-revisor-a-ia-que-decide-por-voce.png,07-judge-revisor-decisoes-roteiro.md,03-judge-revisor-roteiro.md,03-judge-revisor-slides.md,False
08,master,00-otimizacao-conversao,Otimização de Conversão — A Matemática da Receita,uploaded,True,True,True,True,True,True,True,True,True,True,False,2,1,True,full_08_dupla.wav,video-master-otimizacao.mp4,08-otimizacao-de-conversao-a-matematica-da-receita.txt,08-otimizacao-de-conversao-a-matematica-da-receita.png,08-otimizacao-conversao-master-roteiro.md,00-otimizacao-conversao-roteiro.md,00-otimizacao-conversao-slides.md,False
09,master,01-funis-lifecycle,Funis e Lifecycle — O Sistema Completo,ready_to_upload,True,True,True,True,True,True,False,True,True,True,False,1,1,True,full_09_dupla.wav,video-09-funis-e-lifecycle.mp4,09-funis-e-lifecycle-o-sistema-completo.txt,09-funis-e-lifecycle-o-sistema-completo.png,09-funis-lifecycle-roteiro.md,01-funis-lifecycle-roteiro.md,01-funis-lifecycle-slides.md,False
10,master,02-ab-test-judge,A/B Testing com Judge — Ciência da Experimentação,ready_to_upload,True,True,True,True,True,True,False,True,True,True,False,1,1,True,full_10_dupla.wav,video-10-a-b-testing-com-judge.mp4,10-a-b-testing-com-judge-ciencia-da-experimentacao.txt,10-a-b-testing-com-judge-ciencia-da-experimentacao.png,10-ab-test-judge-roteiro.md,02-ab-test-judge-roteiro.md,02-ab-test-judge-slides.md,False
11,master,03-coortes-churn,Análise de Coortes e Churn — A Arte de Reter,ready_to_upload,True,True,True,True,True,True,False,True,True,True,False,1,1,True,full_11_dupla.wav,video-11-coortes-e-churn.mp4,11-analise-de-coortes-e-churn-a-arte-de-reter.txt,11-analise-de-coortes-e-churn-a-arte-de-reter.png,11-coortes-churn-roteiro.md,03-coortes-churn-roteiro.md,03-coortes-churn-slides.md,False
12,elite,00-blueprints-elite,Blueprints Elite — O Jogo do Top 10%,ready_to_upload,True,True,True,True,True,True,False,True,True,True,False,1,1,True,full_12_dupla.wav,video-12-blueprints-elite.mp4,12-blueprints-elite-o-jogo-do-top-10.txt,12-blueprints-elite-o-jogo-do-top-10.png,12-blueprints-elite-roteiro.md,00-blueprints-elite-roteiro.md,00-blueprints-elite-slides.md,False
13,elite,01-multi-tenant-whitelabel,Multi-Tenant e White-Label na Prática,ready_to_upload,True,True,True,True,True,True,False,True,True,True,False,1,1,True,full_13_dupla.wav,video-13-multi-tenant-e-white-label.mp4,13-multi-tenant-e-white-label-na-pratica.txt,13-multi-tenant-e-white-label-na-pratica.png,13-multi-tenant-whitelabel-roteiro.md,01-multi-tenant-whitelabel-roteiro.md,01-multi-tenant-whitelabel-slides.md,False
14,elite,02-federacao-agentes,Federação de Agentes Zero-Trust,uploaded,True,True,True,True,True,True,True,True,True,True,False,1,1,True,full_14_dupla.wav,video-elite-federacao.mp4,14-federacao-de-agentes-zero-trust.txt,14-federacao-de-agentes-zero-trust.png,14-federacao-agentes-roteiro.md,02-federacao-agentes-roteiro.md,02-federacao-agentes-slides.md,False
